S&D Related,Non-S&D Related
A P ENTERPRISES (Franchisee Fresh),AB-OTHERS
A R SUPER MARKET,ANSIO INDIA PVT LTD
AB-BAKERY,APTS NILGIRIS
AB-KIRANA/GENERAL STORES,ARUSH RETAIL MART
AGS SUPER BAZZAR,AVM CATERERS
ALICE FAMILY BAZZAR,BIG BASKET
AMMA NAANA DEPT STORES CandK,BIG BAZAAR
AMMAN FRUITS - (5TH AVENUE),BLM Bazaar
ANNADATA MART,BRONZE
APOLLO PHARMACY,BUS AND CAB AGENCIES
ARUN STORES,Bakery and Baked Goods Store
ARUSH RETAIL MART,C.G. ENTER PRISES
AVM CATERERS,CAFES
BIG BASKET,CANTEEN
BIG BAZAAR,CARE MEDS
BLM Bazaar,CFA S
BRONZE,CHEERS VENTURES
BUS AND CAB AGENCIES,COACHING CENTRES
Bakery and Baked Goods Store,COLLEGES
C.G. ENTER PRISES,COMMERCE INDIA
CAFES,COMMERCIAL
CANTEEN,CONVENTION HALLS
CARE MEDS,E FAIRPRICE HYPERMART PVT.LTD
CFA S,EKAYARS
CFB Retails Pvt Ltd,ENTERTAINMENT
CHERRY SUPERMARKET,INSTITUTIONAL B2B- TEST
COSMO BAAZAR,LIA-EDUCATION
Cafeteria,LIA-ENTERTAINMENT
Catering and Other Food Services,LIA-HOSPITAL
Cigar and Tobacco Shop,LIA-PHARMA
Coffee Shop,LIA-SOCIETY
Coffee-Tea,LIA-UNCONVENTIONAL
Consumer Goods,LULU HYPER MARKET
Convenience Store,MANUFACTURING
DA-COOL DRINKS,MEDICAL AND SURGICALS
DA-TEA SHOP,MINI - LIA - HoReCa
DIAGNOSTIC CENTRES,MINI - LIA - Other Eateries
DMART,MM MART
Dairy Goods,MT-LIA-HoReCa-Main
Deli,MT-LIA-Hospital-Main
Department Store,MT-LIA-Institute-Premium
Discount Store,MT-LIA-SAGTO-Premium
Doughnut Shop,NEW RATHNA STORE
Drugstore,NORTH STANDALONES
Drugstore or Pharmacy,Non-Store Retailers
FACILITY MANAGEMENT COMPANIES,OTHERS
FARM BAZAAR,PC-KIRANA/GENERAL STORES
FEMINA SHOPPING MALL,PC-MEDICAL
FMCG - Bakery/Snacks,PC-PAN
FMCG - Bus Stand Outlets,PC-Super Market (MT in GT & Departmental Store)
FMCG - Fancy Store/Cosmetics/Stationary,PET-AQUARIUM / PET FOOD
FMCG - Hardware/Paint Shops,PONNU SUPER MARKET
FMCG - Hotels/Restaurants/Tea Stall,POTHYS SUPER MARKET
FMCG - Institutional Sales,Pharmacy
FMCG - Juice/ Cool Drinks Parlour,RA-LADIES SALOON
FMCG - Kirana/General Stores,RA-UNISEX
FMCG - Medical,RANGASAMY CHETTIYAR
FMCG - Milk Parlour,RESTAURANTS
FMCG - PAN,Restaurant
FMCG - Railway Cluster,SUPR INFOTECH SOLUTIONS PVT LTD
FMCG - Salon,SCHOOLS
FMCG - School Zone,
FMCG - Self Service Store/SuperMarket,
FMCG - Society/Apartments,
FMCG - Telecom/Handset Outlets,
FMCG - Temple/Tourist,
FMCG - Vegetable/Fruit/Meat Shops,
